sym,lbl,spid
RORC,RORC,1
RORγ,RORC,1
RORγt,RORC,1
RORγ1,RORC,1
RORγ2,RORC,1
RORG,RORC,1
RZR-GAMMA,RORC,1
RZRG,RORC,1
RAR-related orphan receptor gamma,RORC,1
RAR related orphan receptor C,RORC,1
retinoic acid-related orphan receptor,RORC,1
retinoic acid-related orphan receptor γ,RORC,1
retinoic acid-related orphan receptor γt,RORC,1
FOXP3,FOXP3,1
FoxP3,FOXP3,1
Foxp3,FOXP3,1
foxP3,FOXP3,1
foxp3,FOXP3,1
