desc,id,label,syn,syn_typ,syn_typ_id
"A CD8-positive, alpha-beta T cell that has not experienced activation via antigen contact and has the phenotype CD45RA-positive, CCR7-positive and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low.",CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",naive CD8+ T cell,broad,1
"An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low.",CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",naive CD4+ T cell,broad,1
"A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative.",CL:0001045,naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T-lymphocyte,exact,4
"A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative.",CL:0001045,naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T-cell,exact,4
"A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative.",CL:0001045,naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T lymphocyte,exact,4
"A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative.",CL:0001045,naive CCR4-positive regulatory T cell,naive CCR4-positive regulatory T cell,label,5
"A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative.",CL:0001045,naive CCR4-positive regulatory T cell,naive CCR4+ Treg,exact,4
"CD4-positive alpha-beta T cell with the phenotype FoxP3-positive, CD25-positive, CD62L-positive, and CTLA-4 positive with regulatory function.",CL:0000903,natural T-regulatory cell,nTreg,exact,4
An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule.,CL:0000940,mucosal invariant T cell,mucosal invariant T-lymphocyte,exact,4
An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule.,CL:0000940,mucosal invariant T cell,mucosal invariant T-cell,exact,4
An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule.,CL:0000940,mucosal invariant T cell,mucosal invariant T lymphocyte,exact,4
An alpha-beta T cell that is found in the lamina propria of mucosal tissues and is restricted by the MR-1 molecule.,CL:0000940,mucosal invariant T cell,mucosal invariant T cell,label,5
"A CD4-positive, CD25-positive alpha-beta regulatory T cell that has encountered antigen.",CL:0002678,memory regulatory T cell,memory regulatory T cell,label,5
"Intraepithelial T cells with a memory phenotype of CD2-positive, CD5-positive, and CD44-positive.",CL:0002037,"CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell",memory alpha beta IEL,exact,4
A distinctly differentiated long-lived T cell that has the phenotype CD45RO-positive and CD127-positive.,CL:0000813,memory T cell,memory T-lymphocyte,exact,4
A distinctly differentiated long-lived T cell that has the phenotype CD45RO-positive and CD127-positive.,CL:0000813,memory T cell,memory T-cell,exact,4
A distinctly differentiated long-lived T cell that has the phenotype CD45RO-positive and CD127-positive.,CL:0000813,memory T cell,memory T lymphocyte,exact,4
A distinctly differentiated long-lived T cell that has the phenotype CD45RO-positive and CD127-positive.,CL:0000813,memory T cell,memory T cell,label,5
"A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive.",CL:0001046,memory CCR4-positive regulatory T cell,memory CCR4-positive regulatory T-lymphocyte,exact,4
