desc,id,label,syn,syn_typ,syn_typ_id
"A circulating gamma-delta T cell that expresses RORgamma(t), is CD27-negative and is capable of IL-17 secretion.",CL:0002125,CD27-negative gamma-delta T cell,gammadelta-17 cells,exact,4
"A post-natal thymocyte expressing components of the gamma-delta T cell receptor. This cell type is always double-negative (i.e. CD4-negative, CD8-negative).",CL:0002405,gamma-delta thymocyte,gammadelta thymocyte,exact,4
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gammadelta T cell,exact,4
"A post-natal thymocyte expressing components of the gamma-delta T cell receptor. This cell type is always double-negative (i.e. CD4-negative, CD8-negative).",CL:0002405,gamma-delta thymocyte,gamma-delta thymocyte,label,5
A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,CL:0000801,gamma-delta intraepithelial T cell,gamma-delta intraepithelial T-lymphocyte,exact,4
A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,CL:0000801,gamma-delta intraepithelial T cell,gamma-delta intraepithelial T-cell,exact,4
A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,CL:0000801,gamma-delta intraepithelial T cell,gamma-delta intraepithelial T lymphocyte,exact,4
A mature gamma-delta T cell that is found in the columnar epithelium of the gastrointestinal tract. These cells participate in mucosal immune responses.,CL:0000801,gamma-delta intraepithelial T cell,gamma-delta intraepithelial T cell,label,5
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gamma-delta T-lymphocyte,exact,4
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gamma-delta T-cell,exact,4
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gamma-delta T lymphocyte,exact,4
A T cell that expresses a gamma-delta T cell receptor complex.,CL:0000798,gamma-delta T cell,gamma-delta T cell,label,5
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular helper T-cell,related,2
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular helper T cell,related,2
"A CD4-positive, CXCR5-positive, CCR7-negative alpha-beta T cell located in follicles of secondary lymph nodes that expresses is BCL6-high, ICOS-high and PD1-high, and stimulates follicular B cells to undergo class-switching and antibody production.",CL:0002038,T follicular helper cell,follicular T-helper cell,related,2
