sym,table
MINOR,transcription_factors
GENESIS,transcription_factors
PRISM,transcription_factors
CD4,cytokines
CD4 molecule,cytokines
CD4mut,cytokines
T-cell surface glycoprotein CD4,cytokines
T-cell differentiation antigen L3T4,cytokines
T-cell surface antigen T4/Leu-3,cytokines
CD25,cytokines
kit,cytokines
light,cytokines
rank,cytokines
TR1,cytokines
killer,cytokines
CVID,cytokines
Tc1,cytokines
pilot,cytokines
DP,cell_types
thymic,cell_types
EMT,cell_types
TIL,all
