verb,polarity,actor,,
represent,neutral,,,
repress,negative,,,
reproduce,positive,,,
required,neutral,,,
requires,neutral,,,
respond,neutral,cell,,
restimulate,positive,cytokine,,
restimulation,positive,,,
restore,positive,,,
restraining,negative,,,
restrict,negative,,,
result,neutral,,,
revealed,neutral,,,
reverse,negative,,,
rise,positive,,,
secrete,positive,cell,,
seem,neutral,,,
seen,neutral,,,
sensitise,positive,cell,,
sensitized,positive,,,
sensitizes,positive,cell,,
sensitizing,positive,cell,,
separated,neutral,,,
serve,neutral,,,
set,neutral,,,
shared,neutral,,,
shares,neutral,,,
shed,neutral,,,
shift,neutral,,,
show,neutral,,,
showed,neutral,,,
showing,neutral,,,
shown,neutral,,,
shows,neutral,,,
signal,neutral,,,
sinergized,neutral,,,
specialize,neutral,,,
spikes,negative,,,
stabilise,neutral,,,
stain,neutral,,,
started,neutral,,,
stem,positive,,,
stimulate,positive,,,
stop,negative,,,
store,neutral,,,
stress,negative,,,
suffering,neutral,,,
support,positive,,,
suppress,negative,,,
sustain,negative,,,
switch,neutral,,,
synergise,positive,,,
synthesised,positive,,,
synthesize,positive,cell,,
target,positive,,,
tolerize,neutral,,,
transactivate,positive,,,
transduced,neutral,,,
transducing,neutral,,,
transform,neutral,,,
trigger,positive,,,
truncated,negative,,,
turn,neutral,,,
undergoing,positive,,,
understand,negative,,,
underwent,negative,,,
undifferentiate,negative,,,
unstimulate,negative,cytokine,,
upregulate,positive,,,
up-regulate,positive,,,
upregulation,positive,,,
use,neutral,,,
used,neutral,,,
using,neutral,,,
utilizes,positive,,,
utilizing,positive,,,
vary,neutral,,,
work,neutral,,,
# Manual additions
polarize,positive,,,
