sym,lbl,spid
IL-23,IL23,1
IL23,IL23,1
IL12α,IL12A,1
IL-12α,IL12A,1
IL-12 p35,IL12A,1
IL-12p35,IL12A,1
IL12p35,IL12A,1
IL1,IL1,1
IL-1,IL1,1
transforming growth factor β,TGFβ,1
transforming growth factor beta,TGFβ,1
